split,task,horizon,slice_name,slice_group,slice_spec_version,slice_spec_hash,model_family,model_run_id,model_hash,N_examples,N_ICU_stays,N_positive_examples,N_positive_stays,metric_name,metric_value,probability_type,threshold_id,calibrator_id,calibrator_hash,feature_version,label_version,split_hash,status,implementation_version
validation,recovery,24h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,mae,0.5,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,rmse,0.5,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,directional_agreement,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,mae,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,rmse,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,directional_agreement,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,unavailable,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,0,0,,,mae,,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,EMPTY_ELIGIBLE_GROUP,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,unavailable,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,0,0,,,rmse,,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,EMPTY_ELIGIBLE_GROUP,prespecified_error_analysis_v1
validation,recovery,24h,baseline_sofa,unavailable,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,0,0,,,directional_agreement,,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,EMPTY_ELIGIBLE_GROUP,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,mae,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,rmse,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,lower,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,directional_agreement,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,mae,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,rmse,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
validation,recovery,48h,baseline_sofa,higher,synthetic_error_analysis_slice_spec_v1,18ae73a4516ba99c358bd85306907fbc3d2eb10f3e81d5b7092d7e3b2be0d70a,gru,synthetic_selected_recovery,synthetic-model-hash,1,1,,,directional_agreement,1.0,,,,,synthetic-features-v1,synthetic-labels-v1,synthetic-validation-split-hash,COMPLETE,prespecified_error_analysis_v1
