subject_id,split,clone_fingerprint_sha256
SYN-S-00000001,train,2be7a6f5fe53a9db46b46415e13b168dd7adad5e38ce14247caeac95b398cae2
SYN-S-00000002,train,09496afdd5d862f662dc927ff734a8a7c6e3f3cfce313839d668b429a85349e0
SYN-S-00000003,train,53508d87b03e9e0fbc910ec86c9de71231b280bbf62baa22d411404dc312469a
SYN-S-00000004,train,5e2b1b7898c3d76d054a47911f65fe22e06a71a0c4899f2b36875d279b24b23f
SYN-S-00000005,train,e62db49824663e2f7f680710cc2de14c10195ea6c5a59804b5dbb5bf3093e413
SYN-S-00000006,train,adab962881389fd65094da2389849a23826384466540c9ffe1572794d09a4350
SYN-S-00000007,train,454dce582f35bd43ddc220bbd1006e46433ae060e1b89a37f085a998349c4d85
SYN-S-00000008,train,209f1391eecc6358383f5004be129bef4f4347d8efb31815f50d7409907045d8
SYN-S-00000009,train,42312e139feceb9fe7443d262d543a7dbdc90ca8e102536862d8cfce4c7e6e86
SYN-S-00000010,train,d96668b627c3c8c42eddca8a3b75f54b21f37d8c93795fedf60b1d776ed731cc
SYN-S-00000011,train,0adc67c8131902799a12e33aad70c91fbfae50a69901117248f1868f93a4a633
SYN-S-00000012,train,bce617093e879ea9e45e0e8b34eaf38f771e5be8fda4bd4e1d17114358af39c9
SYN-S-00000013,train,858f2eac4a0d365ed9b0b5623a3893a22a60c8bf237a8d6355f11ee90ff5a4d4
SYN-S-00000014,train,ed6878f3886398d09e64b8c1a6bd99563c75c00a616fa293a937f5389b079b49
SYN-S-00000015,validation,b0ebdc065a942101393ed290ee85c7ce0d656ea8628d129be3ebfc6f9b63d1b6
SYN-S-00000016,train,9f447e2549f2756e6271b946779b3155f1a48a23fa5de5bf706a56b2f4beeabf
SYN-S-00000017,test,5b38485158ac839aa4bca696a516f3270d6fb7a08a2140f8cc2cb9328027aeea
SYN-S-00000018,validation,ee4b7584ba5b4d162b114afe75ef50132d9909115adbc7376f9a8a3787b43dfa
SYN-S-00000019,train,795b74f9e480d14df4995fec7a5497a369f1ab37720254c6f17ef5f21b9eba8b
SYN-S-00000020,train,4502796e6b8650f1e93b1ac7a3446825fc9d5935606add4f23de5b95e39841b1
SYN-S-00000021,train,107dbd2c6c9264a17abe8256ed10227d3d403e6a5ad9c77634a76a4b9e80bf6a
SYN-S-00000022,train,12aaa16d439d52f8ecfcd841e22c7176bb02d3713419bff6e0524c29807a35ec
SYN-S-00000023,train,e5280578e4ba4e29e61076c449dedd593648cf5460c1a8444645dc819d17a4fd
SYN-S-00000024,validation,13458b24e2fe28c5d0eb208f2ff506e83d12df32131b74733be393ff697dad5a
SYN-S-00000025,train,4dc250593580483879c8eba7e179126c00dd3641965e41348f9c3479b8e4c550
