feature_schema_version,feature_name,ordered_index,source_provenance_id,source_concept,source_unit,aggregation,carry_forward,observation_mask_rule,tslo_rule,status
synthetic_feature_schema_v1,pao2__latest,0,PROV-RAW-PAO2-V1,pao2,mmHg,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,fio2__latest,1,PROV-RAW-FIO2-V1,fio2,fraction,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,platelet_count__latest,2,PROV-RAW-PLATELET-V1,platelet_count,10^9/L,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,bilirubin_total__latest,3,PROV-RAW-BILIRUBIN-V1,bilirubin_total,mg/dL,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,mean_arterial_pressure__latest,4,PROV-RAW-MAP-V1,mean_arterial_pressure,mmHg,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,glasgow_coma_scale__latest,5,PROV-RAW-GCS-V1,glasgow_coma_scale,score,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,creatinine__latest,6,PROV-RAW-CREATININE-V1,creatinine,mg/dL,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,urine_output_volume__sum,7,PROV-RAW-URINE-V1,urine_output_volume,mL,SUM_AVAILABLE_INTERVAL_VOLUMES,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,heart_rate__latest,8,PROV-RAW-HR-V1,heart_rate,beats/min,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,systolic_blood_pressure__latest,9,PROV-RAW-SBP-V1,systolic_blood_pressure,mmHg,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,diastolic_blood_pressure__latest,10,PROV-RAW-DBP-V1,diastolic_blood_pressure,mmHg,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,respiratory_rate__latest,11,PROV-RAW-RR-V1,respiratory_rate,breaths/min,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,oxygen_saturation__latest,12,PROV-RAW-SPO2-V1,oxygen_saturation,percent,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,temperature__latest,13,PROV-RAW-TEMP-V1,temperature,degree_Celsius,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
synthetic_feature_schema_v1,lactate__latest,14,PROV-RAW-LACTATE-V1,lactate,mmol/L,LATEST,NONE,GENUINE_IN_BIN,GENUINE_IN_LOOKBACK_ONLY,PHASE7_FROZEN
