provenance_id,canonical_concept,source_artifact,raw_source_concept,source_schema_version,event_time_semantics,raw_unit,canonical_unit,conversion,value_type,event_kind,valid_domain,model_candidate_status,sofa_dependency,support_dependency,leakage_status,planned_phase7_derivations,status_version
PROV-RAW-PAO2-V1,pao2,raw_events,pao2,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mmHg,mmHg,IDENTITY,number,point,20..600,PHASE7_DECISION_PENDING,RESPIRATORY,VENTILATION_CONTEXT_DEFERRED_PHASE9,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-FIO2-V1,fio2,raw_events,fio2,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,fraction,fraction,IDENTITY,number,point,0.21..1,PHASE7_DECISION_PENDING,RESPIRATORY,VENTILATION_CONTEXT_DEFERRED_PHASE9,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-PLATELET-V1,platelet_count,raw_events,platelet_count,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,10^9/L,10^9/L,IDENTITY,number,point,1..1000,PHASE7_DECISION_PENDING,COAGULATION,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-BILIRUBIN-V1,bilirubin_total,raw_events,bilirubin_total,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mg/dL,mg/dL,IDENTITY,number,point,0..50,PHASE7_DECISION_PENDING,LIVER,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-MAP-V1,mean_arterial_pressure,raw_events,mean_arterial_pressure,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mmHg,mmHg,IDENTITY,number,point,20..200,PHASE7_DECISION_PENDING,CARDIOVASCULAR,VASOPRESSOR_CONTEXT_DEFERRED_PHASE9,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-GCS-V1,glasgow_coma_scale,raw_events,glasgow_coma_scale,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,score,score,IDENTITY,integer,point,3..15,PHASE7_DECISION_PENDING,CNS,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-CREATININE-V1,creatinine,raw_events,creatinine,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mg/dL,mg/dL,IDENTITY,number,point,0.1..20,PHASE7_DECISION_PENDING,RENAL,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-URINE-V1,urine_output_volume,raw_events,urine_output_volume,synthetic_raw_schema_v1,QUANTITY_INTERVAL_AVAILABLE_AT_INTERVAL_END,mL,mL,IDENTITY,number,quantity_interval,0..10000,PHASE7_DECISION_PENDING,RENAL,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-HR-V1,heart_rate,raw_events,heart_rate,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,beats/min,beats/min,IDENTITY,number,point,20..250,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-SBP-V1,systolic_blood_pressure,raw_events,systolic_blood_pressure,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mmHg,mmHg,IDENTITY,number,point,40..300,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-DBP-V1,diastolic_blood_pressure,raw_events,diastolic_blood_pressure,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mmHg,mmHg,IDENTITY,number,point,20..200,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-RR-V1,respiratory_rate,raw_events,respiratory_rate,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,breaths/min,breaths/min,IDENTITY,number,point,4..60,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-SPO2-V1,oxygen_saturation,raw_events,oxygen_saturation,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,percent,percent,IDENTITY,number,point,50..100,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-TEMP-V1,temperature,raw_events,temperature,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,degree_Celsius,degree_Celsius,IDENTITY,number,point,30..43,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
PROV-RAW-LACTATE-V1,lactate,raw_events,lactate,synthetic_raw_schema_v1,AVAILABLE_AT_EVENT_TIME,mmol/L,mmol/L,IDENTITY,number,point,0.1..30,PHASE7_DECISION_PENDING,NONE,NONE,SAFE_HISTORICAL_RAW,UNFROZEN,phase5_v1
