run_id,timestamp_utc,task,model_family,seed,code_commit,config_ref,config_hash,search_space_hash,split_hash,feature_version,label_version,model_artifact_ref,model_sha256,metrics_ref,status,parent_run_id,notes,candidate_id,search_version,candidate_list_hash,attempt_number,retry_of_run_id,attempt_status_detail,validation_objective,run_type,finalized,metrics_sha256,preprocessor_ref,preprocessor_sha256,event_dict_version,parent_feature_version,derived_feature_hash,environment_ref,environment_sha256,dirty_worktree,dataset_version,mimic_code_commit,extraction_ref,extraction_sha256,cohort_version,feature_dictionary_ref,feature_dictionary_sha256,label_spec_ref,split_ref
final-gru-recovery-001-attempt-1,2026-09-21T20:44:18.707810Z,recovery,gru,4133657324,d3d2ec8d453e94ea2a4a816ab724252526464573,artifacts/search/gru/final/recovery/gru-recovery-001/attempt-1/candidate_config.json,fe8e8a554d226ba3470b50ec7005ff22dffc35b17fb75c06a03c2959e039e4b3,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final/recovery/gru-recovery-001/attempt-1/model.pt,7d393c87829c73598fa6603298492607d37dc57cb73d1853283c7afd8baf355b,artifacts/search/gru/final/recovery/gru-recovery-001/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":4,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-recovery-001,vedant_final_gru_validation_search_v1,0fc234474733868519c1d8ea096db905bddcb1e5c578e2ddccaf8f5cf52cdfe0,1,,COMPLETE,MIN_STAY_BALANCED_MAE24_ORIGINAL_DELTA_SOFA_UNITS,scientific,true,cfaea5788538e42ce6a455f2a7db3cf516eebe74fa63071b47910d48effea5c5,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final/environment_v1.json,f6f14b247a23d3bb673af62ad0925b023c189e24f820b0f668217b0cd989354a,false,,,,,,,,,
final-v2-gru-icu-time-001-attempt-1,2026-09-21T20:50:25.337420Z,icu_stay_time,gru,3771315153,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-001/attempt-1/candidate_config.json,31beea50056c312c0470ca746cfc0c2fad99f6628d00772e1be1242e83b57720,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-001/attempt-1/model.pt,81543c8d75f1c33a5147ad66d163ec8eb4a9be71b66925be4aaa49c9f2532dcf,artifacts/search/gru/final_v2/icu_time/gru-icu-time-001/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":1,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-001,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,fd6e89b53ae1b67af63d31cfaa79528b5ff86931607629a2eb0d7b35692a200f,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-002-attempt-1,2026-09-21T20:50:29.849192Z,icu_stay_time,gru,2621205904,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-002/attempt-1/candidate_config.json,a20bb268cc0222a42046c997d3a49bc71eb551a252c5ce3162c5d4225b524019,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-002/attempt-1/model.pt,7fb4eaeb91fdb0b5f849e307eb9a3219be714ec524d1c5dbc95f780617c661a8,artifacts/search/gru/final_v2/icu_time/gru-icu-time-002/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":2,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-002,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,04cfbe3967c3f66f7686629eadc51c344bef369a9da325861fbe15f7facc119e,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-003-attempt-1,2026-09-21T20:50:38.891020Z,icu_stay_time,gru,1371562594,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-003/attempt-1/candidate_config.json,eaa50489e10cbf425c669528703e5f7470afe341a826f7d98f40bbbc5b15c0b4,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-003/attempt-1/model.pt,0351d4fb0c0fd1ee5330db570215ecf682956026f624e3349f568f036c8686bc,artifacts/search/gru/final_v2/icu_time/gru-icu-time-003/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":8,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-003,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,fb3ce0d1a512d314cac48ff699ba25f3174a088001545b02eb0112113ecae501,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-004-attempt-1,2026-09-21T20:50:42.913376Z,icu_stay_time,gru,113247025,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-004/attempt-1/candidate_config.json,28553a6759d78c6013b3c23fec52d6e69971adf7a3a729754cbc5a3c6ce53da5,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-004/attempt-1/model.pt,f1dc9f8f629a3e4eb95620b4a5eebd865553792ba082c895ba457992427192fe,artifacts/search/gru/final_v2/icu_time/gru-icu-time-004/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":1,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-004,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,1e0580486be583fb17f40523000c7767b8c3147736527227f8bda8195655b014,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-005-attempt-1,2026-09-21T20:50:48.356181Z,icu_stay_time,gru,2340034148,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-005/attempt-1/candidate_config.json,faf8cc40d2d409775e139ede0c856fc8d27001d03fde3ee8632e42d66e0d33c7,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-005/attempt-1/model.pt,746e4b23544a2bd15f3c38909921621f72fbb432405314d3b919e9ff5e647df8,artifacts/search/gru/final_v2/icu_time/gru-icu-time-005/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":3,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-005,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,2014b26fe1d756593705e935f90f0c44ed9ebaf0d495bf5ea628d8626c834e6e,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-006-attempt-1,2026-09-21T20:50:54.036652Z,icu_stay_time,gru,3070965966,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-006/attempt-1/candidate_config.json,a84df060f4e030d72503c3d26f24afd3d20507e8cdb88856cad259bb26a5ef42,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-006/attempt-1/model.pt,ccf6c7f50e8987416f940c817b0213692271442ecdc9452829fc1bc674d96527,artifacts/search/gru/final_v2/icu_time/gru-icu-time-006/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":5,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-006,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,7b4ca7e5aa47e18812cf8f6e7be00a6edaa435ee521f22eea300c3de2bbf3eda,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-007-attempt-1,2026-09-21T20:50:58.180348Z,icu_stay_time,gru,117216979,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-007/attempt-1/candidate_config.json,9130f2b9fb4f2a53b5879f4830393dd73e8c8eb755b9162f7ff5d54db9e5a1e3,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-007/attempt-1/model.pt,e0d4c171061a3b0e19cc48066ae4f3d0967413f385e14f2806e4fc4f8a0de342,artifacts/search/gru/final_v2/icu_time/gru-icu-time-007/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":2,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-007,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,af20a6ce288ba98fdf52f4b5c95a3e61cd819cf4cdc354a010f71e57c3a7d639,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-008-attempt-1,2026-09-21T20:51:06.518909Z,icu_stay_time,gru,3714830945,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-008/attempt-1/candidate_config.json,5251279ec96fd7db33c027f019b7c20dd3205a2eb76d48f9c46500c07901a672,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-008/attempt-1/model.pt,97035c837fb08adf86f1e9ad0393903504b23402a7b0c1ab8b3767163d87e5a3,artifacts/search/gru/final_v2/icu_time/gru-icu-time-008/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":4,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-008,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,b6773006fdbaf7bdd44d9cdf27f8070cd36fc1cd6b68c5d3b43ea0af959dccda,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
final-v2-gru-icu-time-009-attempt-1,2026-09-21T20:51:12.725117Z,icu_stay_time,gru,3864568061,6ee72f8bee55baed82ab8705fbd4f939f86a0182,artifacts/search/gru/final_v2/icu_time/gru-icu-time-009/attempt-1/candidate_config.json,d4d017a35c995100ce40c1148c105419e3bda9b1f3d38de900529ab7bab0c47a,db96262afc7873b3ebdddbddd5fe1967049b416f663c8ea75b51c3ee7aaae0c8,3d6af5298f219f4608e5318ca09856642a1918a1154563ed0e8aec1785563cf6,synthetic_feature_schema_v2,synthetic_phase9_final_target_contract_v1,artifacts/search/gru/final_v2/icu_time/gru-icu-time-009/attempt-1/model.pt,fe97609fe704d5ec0009bd6719ea49cc672b9ab5d3203f436d841738948906db,artifacts/search/gru/final_v2/icu_time/gru-icu-time-009/attempt-1/validation_metrics.json,completed,,"{""best_epoch"":3,""g1_sha256"":""1fbcc1b0859c0052eb867aec15e89bd3f7df503ac318b30f92dd98ff9eeccf90"",""phase14_handoff_sha256"":""3c4fa9a9efd25145ab1daa23c03632aa0cfd0b04d3ee0b4254c1cb180fff63d4"",""search_role"":""GRU_WITHIN_FAMILY_VALIDATION_CANDIDATE"",""test_accessed"":false}",gru-icu-time-009,vedant_final_gru_validation_search_v2,a76f8c57ce37bca5715b195795ecd22fd6bb9039de86dda667b80d68e20fd3fe,1,,COMPLETE,MIN_STAY_BALANCED_WEIGHTED_MEDIAN_ABSOLUTE_ERROR_HOURS,scientific,true,c00ee2d3f04b2aad6c12506ba69310a8a85801ebed642f2b9676c905f63d207b,artifacts/preprocessors/synthetic_feature_preprocessor_v1.json,c28bfdfbd83f08de96c30da94557a4da158ce28fedda254c1823be7b27fd6eb0,,,f5de442cf4d0bf96356ef4ce4a15156541ee17a075b487cbe0c72926cee7e156,artifacts/search/gru/final_v2/environment_v1.json,89c8d8f9698b58c50c687364fee75d40050c8a31dc3a6f7bdbb873f76ccbce42,false,,,,,,,,,
